Req. Creation Date,Creation Time,Req. Creation Date - Year Week ISO,Request - ID,Request - Priority Description,Historical Status - Status From,Historical Status - Status To,Historical Status - Change Date,Historical Status - Change Time,Macro Area - Name,Request - Resource Assigned To - GROUP SAP MD,Macro Area (SAP) - MA Area,Request - User Name,Request - Resource Assigned To - Name,Req. Type - Description EN,Req. Status - Description,Req. Closing Date,Request - Text Request,Request - Text Answer,Request - Category,Request - Subject description
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,Forwarded,Work in progress,2025-03-03,143748,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,Solved,Closed,2025-03-11,134408,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,Suspended,Work in progress,2025-03-06,134322,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,To be defined,Forwarded,2025-03-01,115201,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,Work in progress,Solved,2025-03-06,134405,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:51:36,202509,A3194778L,P3 - Normal,Work in progress,Suspended,2025-03-03,201101,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-11,"NL002351 called in because..cannot do the ""damages"" return because of the error message below....Can you please check?..Thanks","Our attempts to get the required information on three separate occasions were unsuccessful. We have set this incident to resolved, if you need further assistance, please create a new H-D-A incident.",APPLICATION ISSUE,SCM_FIORII_NL_SGH_7978 : DAMAGES ON MIM/FIORI  NOT POSSIBLE
2025-03-01,11:59:31,202509,A3194785L,P3 - Normal,Forwarded,Work in progress,2025-03-03,122546,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Cowan Kelly,Incident RETAIL,Closed,2025-03-08,"Nicola, the SM called in because he sees for the first time on STOCK SUMMARY the column ""PLM STATUS"" and some letters below as ""A"", ""O"", ""M"" and was asking for the meaning of that column and the meaning of that letters as well..Can you please provide us the info?..Thanks",Store requested that this ticket is now closed,APPLICATION ISSUE,"PLM STATUS MEANING AND LETTERS BELOW AS ""A"", ""O"", ""M AS WELL"
2025-03-01,11:59:31,202509,A3194785L,P3 - Normal,Solved,Closed,2025-03-08,122714,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Cowan Kelly,Incident RETAIL,Closed,2025-03-08,"Nicola, the SM called in because he sees for the first time on STOCK SUMMARY the column ""PLM STATUS"" and some letters below as ""A"", ""O"", ""M"" and was asking for the meaning of that column and the meaning of that letters as well..Can you please provide us the info?..Thanks",Store requested that this ticket is now closed,APPLICATION ISSUE,"PLM STATUS MEANING AND LETTERS BELOW AS ""A"", ""O"", ""M AS WELL"
2025-03-01,11:59:31,202509,A3194785L,P3 - Normal,To be defined,Forwarded,2025-03-01,115956,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Cowan Kelly,Incident RETAIL,Closed,2025-03-08,"Nicola, the SM called in because he sees for the first time on STOCK SUMMARY the column ""PLM STATUS"" and some letters below as ""A"", ""O"", ""M"" and was asking for the meaning of that column and the meaning of that letters as well..Can you please provide us the info?..Thanks",Store requested that this ticket is now closed,APPLICATION ISSUE,"PLM STATUS MEANING AND LETTERS BELOW AS ""A"", ""O"", ""M AS WELL"
2025-03-01,11:59:31,202509,A3194785L,P3 - Normal,Work in progress,Solved,2025-03-03,122708,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Cowan Kelly,Incident RETAIL,Closed,2025-03-08,"Nicola, the SM called in because he sees for the first time on STOCK SUMMARY the column ""PLM STATUS"" and some letters below as ""A"", ""O"", ""M"" and was asking for the meaning of that column and the meaning of that letters as well..Can you please provide us the info?..Thanks",Store requested that this ticket is now closed,APPLICATION ISSUE,"PLM STATUS MEANING AND LETTERS BELOW AS ""A"", ""O"", ""M AS WELL"
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Pending For IT Check,Work in progress,2025-03-03,151007,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Pending For IT Check,Work in progress,2025-03-03,200213,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
